SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,58685.7146368048659922
ETH,Ethereum,3160.6879191513892536
USDT,Tether,1.0008878790476565
BNB,BNB,536.8640319644672773
SOL,Solana,140.3572009131457809
USDC,USDC,1.0007530422530755
XRP,XRP,0.5135372335207712
DOGE,Dogecoin,0.1099425567662052
ADA,Cardano,0.4218510509612932
TRX,TRON,0.1395058799187106
AVAX,Avalanche,25.9161107221387579
SHIB,Shiba Inu,0.0000170661216548
WBTC,Wrapped Bitcoin,58766.9430321601428261
DOT,Polkadot,6.2341115510677001
LINK,Chainlink,13.0320041966689493
BCH,Bitcoin Cash,373.1674904815953957
NEAR,NEAR Protocol,5.1840199965763848
LEO,UNUS SED LEO,5.8162823805771862
DAI,Multi Collateral DAI,1.0006448357356962
LTC,Litecoin,70.0660303174260143
MATIC,Polygon,0.5148936226097288
UNI,Uniswap,8.2209723419236402
ICP,Internet Computer,8.1125659770519706
ETC,Ethereum Classic,22.0817028464052935
XLM,Stellar,0.1018765852252807
FET,Artificial Superintelligence Alliance,1.1737005769249694
XMR,Monero,160.1082156880377141
STX,Stacks,1.6891429375274164
MKR,Maker,2653.0471596521663465
FIL,Filecoin,4.1822728327748479
OKB,OKB,38.8268049918249583
RNDR,Render Token,6.1981784323291386
VET,VeChain,0.0282603073563846
CRO,Crypto.com Coin,0.0897881140554212
GRT,The Graph,0.1879650002404691
AR,Arweave,24.8407890477438226
ATOM,Cosmos,6.2162649025355800
LDO,Lido DAO,1.7076192986077575
INJ,Injective,20.3187751213220713
AAVE,Aave,96.6459366595651057
THETA,THETA,1.4128177897215210
FTM,Fantom,0.4835206636097301
RUNE,THORChain,3.6751929544267134
ALGO,Algorand,0.1420041964073155
HBAR,Hedera Hashgraph,0.0685875670218984
KCS,KuCoin Token,9.2437515929223605
EGLD,MultiversX,35.8670482758120310
QNT,Quant,71.6415871183888388
FLOW,Flow,0.5617379098746376
AKT,Akash Network,3.4474588391571540
AXS,Axie Infinity,5.5465597342455441
EOS,EOS,0.5394275676773579
BSV,Bitcoin SV,39.7685784788617594
XTZ,Tezos,0.7822471996085025
GALA,Gala,0.0232624904725988
NEO,Neo,10.2625560227158987
SAND,The Sandbox,0.3135097082858935
GNO,Gnosis,264.2937567373378468
GT,GateToken,7.1984622726199157
NEXO,Nexo,1.1187138170486938
MANA,Decentraland,0.3275952981328502
CFX,Conflux,0.1453106813098840
XEC,eCash,0.0000307851709001
CHZ,Chiliz,0.0673147173008332
PENDLE,Pendle,3.7590229098997878
DEXE,DeXe,10.0345684960335748
MINA,Mina,0.4948636254820954
ROSE,Oasis,0.0803024217285323
KLAY,Klaytn,0.1447247871606675
IOTA,IOTA,0.1595880778739648
OM,MANTRA DAO,1.0611110044392647
1INCH,1inch Network,0.4172004272558105
HNT,Helium,3.1996149287835798
WEMIX,WEMIX,1.2571840823414537
CAKE,PancakeSwap,1.8975962402380699
TUSD,TrueUSD,0.9992402635240370
RAY,Raydium,1.8291695215579746
CKB,Nervos Network,0.0105551209491082
AIOZ,AIOZ Network,0.4214866336357031
LPT,Livepeer,13.8151396176958252
NXM,NXM,68.3358428783448639
TFUEL,Theta Fuel,0.0669830849794691
FTT,FTX Token,1.3394744409065450
KAVA,Kava,0.3928311216838714
ZEC,Zcash,25.8633183016050065
TWT,Trust Wallet Token,1.0099603919983975
FEI,Fei Protocol,0.9633232389805518
SNX,Synthetix,1.7035719741953515
COMP,Compound,47.3857033584229188
WOO,WOO,0.1900491168112685
XDC,XinFin Network,0.0290878181451391
IOTX,IoTeX,0.0366770799095839
ANT,Aragon,7.9648487039587527
CRV,Curve DAO Token,0.2819053482485287
KSM,Kusama,21.6639590902781477
GLM,Golem,0.3149421062994890
DASH,Dash,25.5005000090570761
ZIL,Zilliqa,0.0160680682373824
JST,JUST,0.0299032760547692
ILV,Illuvium,65.5229811885754051
